ToolsMachineTrayID,MachineCode,ToolCode,TrayIndex,Quantity,CreatedDate,UpdatedDate,IsActive
1,MAC1,ACTID111,TRAY_01,0,NULL,"2018-09-17 11:44:12",1
2,MAC1,BCTID211,TRAY_02,0,NULL,"2018-09-17 08:09:36",1
3,MAC1,CCTID311,TRAY_03,0,NULL,"2018-09-17 08:10:08",1
4,MAC1,DCTID4,TRAY_04,0,NULL,"2018-09-17 08:10:41",1
5,MAC1,FCTID6,TRAY_05,0,NULL,"2018-09-17 08:11:10",1
6,MAC1,tool1,TRAY_06,0,NULL,"2018-09-17 08:11:41",1
7,MAC1,ACTID111,TRAY_07,0,NULL,"2018-08-25 11:57:59",1
8,MAC1,BCTID211,TRAY_08,0,NULL,"2018-08-25 12:01:22",1
9,MAC1,CCTID311,TRAY_60,0,NULL,"2018-09-15 15:24:22",1
10,MAC1,FCTID6,TRAY_59,0,NULL,"2018-08-23 08:49:59",1
11,MAC1,CCTID311,TRAY_09,0,NULL,"2018-08-23 08:58:01",1
12,MAC1,DCTID4,TRAY_10,0,NULL,"2018-08-23 08:58:58",1
13,MAC1,FCTID6,TRAY_22,0,NULL,"2018-08-23 08:49:26",1
14,MAC1,BCTID211,TRAY_11,0,NULL,"2018-09-15 09:22:09",1
15,MAC1,tool1,TRAY_43,0,NULL,"2018-08-22 08:06:28",1
16,MAC1,BCTID211,TRAY_46,0,NULL,"2018-08-23 08:40:19",1
17,MAC1,FCTID6,TRAY_53,0,NULL,"2018-09-15 15:14:08",1
18,MAC1,FCTID6,TRAY_12,0,NULL,"2018-09-15 09:26:33",1
19,MAC1,tool1,TRAY_13,0,NULL,"2018-08-23 08:42:09",1
20,MAC1,ACTID111,TRAY_14,0,NULL,"2018-08-22 08:11:46",1
21,MAC1,BCTID211,TRAY_15,0,NULL,"2018-08-22 08:12:42",1
22,MAC1,DCTID4,TRAY_16,0,NULL,"2018-09-15 09:46:11",1
23,MAC1,FCTID6,TRAY_17,0,NULL,"2018-09-15 09:48:30",1
24,MAC1,BCTID211,TRAY_58,0,NULL,"2018-08-25 13:32:49",1
25,MAC1,tool1,TRAY_07,0,NULL,"2018-08-23 08:41:20",1
26,MAC1,FCTID6,TRAY_09,0,NULL,"2018-09-08 13:33:04",1
27,MAC1,tool1,TRAY_10,0,NULL,"2018-08-25 12:11:25",1
28,MAC1,ACTID111,TRAY_11,0,NULL,"2018-09-17 11:38:51",1
29,MAC1,BCTID211,TRAY_12,0,NULL,"2018-09-17 11:39:19",1
30,MAC1,CCTID311,TRAY_13,0,NULL,"2018-09-17 11:39:46",1
31,MAC1,DCTID4,TRAY_14,0,NULL,"2018-09-17 11:41:45",1
32,MAC1,FCTID6,TRAY_15,0,NULL,"2018-09-08 13:44:36",1
33,MAC1,tool1,TRAY_16,0,NULL,"2018-09-08 13:45:05",1
34,MAC1,ACTID111,TRAY_17,0,NULL,"2018-08-25 12:49:14",1
35,MAC1,BCTID211,TRAY_18,0,NULL,"2018-08-25 12:50:14",1
36,MAC1,CCTID311,TRAY_19,0,NULL,"2018-08-25 12:51:37",1
37,MAC1,tool1,TRAY_20,0,NULL,"2018-08-23 09:11:54",1
38,MAC1,ACTID111,TRAY_31,0,NULL,"2018-09-17 11:51:12",1
39,MAC1,BCTID211,TRAY_32,0,NULL,"2018-09-17 11:51:40",1
40,MAC1,CCTID311,TRAY_33,0,NULL,"2018-09-17 11:52:08",1
41,MAC1,DCTID4,TRAY_34,0,NULL,"2018-09-17 11:52:36",1
42,MAC1,FCTID6,TRAY_35,0,NULL,"2018-09-17 11:53:04",1
43,MAC1,tool1,TRAY_36,0,NULL,"2018-09-17 11:53:32",1
44,MAC1,ACTID111,TRAY_37,1,NULL,"2018-09-19 11:26:20",1
45,MAC1,BCTID211,TRAY_38,1,NULL,"2018-09-19 11:26:35",1
46,MAC1,DCTID4,TRAY_39,0,NULL,"2018-08-23 10:28:47",1
47,MAC1,tool1,TRAY_40,0,NULL,"2018-08-23 10:30:07",1
48,MAC1,ACTID111,TRAY_41,0,NULL,"2018-09-17 15:32:56",1
49,MAC1,BCTID211,TRAY_42,0,NULL,"2018-09-17 15:33:23",1
50,MAC1,CCTID311,TRAY_43,0,NULL,"2018-09-17 15:33:57",1
51,MAC1,DCTID4,TRAY_44,0,NULL,"2018-09-17 15:34:27",1
52,MAC1,FCTID6,TRAY_45,0,NULL,"2018-09-17 15:35:54",1
