WorkingTransactionID,TransactionDate,MachineCode,CompanyCode,AssessorID,WOCode,OPCode,ToolCode,TrayIndex,Quantity,UpdatedDate,TransactionStatus,RespondMessage,TransactionType
1,"2018-08-11 13:11:01",MAC1,Com1,uhacc,,,ACTID111,TRAY_01,4,"2018-08-11 13:11:01",Complete,NULL,PutIns
2,"2018-08-11 13:11:29",MAC1,Com1,uhacc,,,BCTID211,TRAY_02,4,"2018-08-11 13:11:29",Complete,NULL,PutIns
3,"2018-08-11 13:12:30",MAC1,Com1,com1user1,xfxgsdfgdfgsd,dfgsdgdsfg,ACTID111,TRAY_01,1,"2018-08-11 13:12:49",ProductOK,NULL,GetTools
4,"2018-08-11 13:13:12",MAC1,Com1,com1user1,sdfsdfs,sfsdfsdfsf,BCTID211,TRAY_02,1,"2018-08-11 13:13:29",ProductOK,NULL,GetTools
5,"2018-08-11 13:13:47",MAC1,Com1,com1user1,vxsg,sgsgsg,BCTID211,TRAY_02,1,"2018-08-11 13:14:04",ProductFail,NULL,GetTools
6,"2018-08-18 09:46:41",MAC1,Com1,com1user1,RTFGH,FGT,ACTID111,TRAY_01,1,"2018-08-18 09:46:41","Send request to board",NULL,GetTools
7,"2018-08-18 09:46:58",MAC1,Com1,com1user1,RTFGH,FGT,BCTID211,TRAY_02,1,"2018-08-18 09:46:58","Send request to board",NULL,GetTools
8,"2018-08-20 09:00:04",MAC1,Com1,UHACC,,,ACTID111,TRAY_01,10,"2018-08-20 09:00:04",Complete,NULL,PutIns
9,"2018-08-20 09:00:27",MAC1,Com1,UHACC,,,BCTID211,TRAY_02,10,"2018-08-20 09:00:27",Complete,NULL,PutIns
10,"2018-08-20 09:00:55",MAC1,Com1,UHACC,,,CCTID311,TRAY_03,10,"2018-08-20 09:00:55",Complete,NULL,PutIns
11,"2018-08-20 09:01:12",MAC1,Com1,UHACC,,,DCTID4,TRAY_04,10,"2018-08-20 09:01:12",Complete,NULL,PutIns
