ToolID,ToolCode,CompanyCode,Model,Barcode,Description,CreatedDate,UpdatedDate,IsActive
36,TX304030,MFC,Endmill,NULL,"Endmill TX304030","2018-10-04 13:01:15","2019-03-16 15:56:32",1
37,TX304080,MFC,Endmill,NULL,"Endmill TX304080","2018-10-04 13:01:15","2019-03-16 15:56:32",1
38,TX304100,MFC,Endmill,NULL,"Endmill TX304100","2018-10-04 13:01:15","2019-03-16 15:56:32",1
52,ZE704010,MFC,Insert,NULL,"Insert ZE704010","2018-10-04 13:01:17","2019-03-16 15:56:32",1
53,ZSPM4040-05,MFC,Insert,NULL,"Insert ZSPM4040-05","2018-10-04 13:01:17","2019-03-16 15:56:32",1
62,tool1,MFC,tx304020,NULL,"endmil 2","2019-03-02 08:46:07","2019-03-18 13:44:32",1
341,TX304010,MFC,TX304010,NULL,"ENDMILL 1, THÉP THƯỜNG, 4 ME ","2019-03-13 16:17:08","2019-03-16 15:56:32",1
342,TX304015,MFC,TX304015,NULL,"ENDMILL 1.5, THÉP THƯỜNG, 4 ME","2019-03-13 16:17:08","2019-03-16 15:56:32",1
343,TX304020,MFC,TX304020,NULL,"ENDMILL 2, THÉP THƯỜNG, 4 ME ","2019-03-13 16:17:08","2019-03-16 15:56:32",1
344,TX304025,MFC,TX304025,NULL,"ENDMILL2.5, THÉP THƯỜNG, 4 ME ","2019-03-13 16:17:08","2019-03-16 15:56:32",1
345,TX304040,MFC,TX304040,NULL,"ENDMILL 4, THÉP THƯỜNG, 4 ME ","2019-03-13 16:17:08","2019-03-16 15:56:32",1
346,TX304060,MFC,TX304060,NULL,"ENDMILL 6, THÉP THƯỜNG, 4 ME ","2019-03-13 16:17:08","2019-03-16 15:56:32",1
347,TX304120,MFC,TX304120,NULL,"ENDMILL 12, THÉP THƯỜNG, 4 ME","2019-03-13 16:17:08","2019-03-16 15:56:32",1
348,TX304160,MFC,TX304160,NULL,"ENDMILL 16, THÉP THƯỜNG, 4 ME","2019-03-13 16:17:08","2019-03-16 15:56:32",1
349,ZE704015,MFC,ZE704015,NULL,"ENDMILL 1.5,THÉP CỨNG, 4 ME","2019-03-13 16:17:08","2019-03-16 15:56:32",1
350,ZE704020,MFC,ZE704020,NULL,"ENDMILL 2, THÉP CỨNG, 4 ME ","2019-03-13 16:17:08","2019-03-16 15:56:32",1
351,ZE704025,MFC,ZE704025,NULL,"ENDMILL 2.5, THÉP CỨNG, 4 ME","2019-03-13 16:17:08","2019-03-16 15:56:32",1
352,ZE704030,MFC,ZE704030,NULL,"ENDMILL 3, THÉP CỨNG, 4 ME ","2019-03-13 16:17:08","2019-03-16 15:56:32",1
353,ZE704040,MFC,ZE704040,NULL,"ENDMILL 4, THÉP CỨNG, 4 ME ","2019-03-13 16:17:09","2019-03-16 15:56:32",1
354,ZE704060,MFC,ZE704060,NULL,"ENDMILL 6, THÉP CỨNG, 4 ME ","2019-03-13 16:17:09","2019-03-16 15:56:32",1
355,ZE704080,MFC,ZE704080,NULL,"ENDMILL 8, THÉP CỨNG, 4 ME ","2019-03-13 16:17:09","2019-03-16 15:56:32",1
356,ZE704100,MFC,ZE704100,NULL,"ENDMILL 10, THÉP CỨNG, 4 ME ","2019-03-13 16:17:09","2019-03-16 15:56:32",1
357,ZE704120,MFC,ZE704120,NULL,"ENDMILL 12, THÉP CỨNG, 4 ME ","2019-03-13 16:17:09","2019-03-16 15:56:32",1
358,WAE303010,MFC,WAE303010,NULL,"ENDMILL 1, NHÔM, 3 ME","2019-03-13 16:17:09","2019-03-16 15:56:32",1
359,WAE303015,MFC,WAE303015,NULL,"ENDMILL 1.5, NHÔM, 4 ME ","2019-03-13 16:17:09","2019-03-16 15:56:32",1
360,WAE303020,MFC,WAE303020,NULL,"ENDMILL 2, NHÔM, 3 ME ","2019-03-13 16:17:09","2019-03-16 15:56:32",1
361,WAE303025,MFC,WAE303025,NULL,"ENDMILL 2.5, NHÔM, 3 ME","2019-03-13 16:17:09","2019-03-16 15:56:32",1
362,WAE303030,MFC,WAE303030,NULL,"ENDMILL 3, NHÔM, 3 ME","2019-03-13 16:17:09","2019-03-16 15:56:32",1
363,WAE303040,MFC,WAE303040,NULL,"ENDMILL 4, NHÔM, 3 ME","2019-03-13 16:17:09","2019-03-16 15:56:32",1
364,WAE303060,MFC,WAE303060,NULL,"ENDMILL6, NHÔM, 3 ME","2019-03-13 16:17:09","2019-03-16 15:56:32",1
365,WAE303080,MFC,WAE303080,NULL,"ENDMILL 8, NHÔM,  3 ME","2019-03-13 16:17:09","2019-03-16 15:56:32",1
366,WAE303100,MFC,WAE303100,NULL,"ENDMILL 10, NHÔM, 3 ME","2019-03-13 16:17:09","2019-03-16 15:56:32",1
367,WAE303120,MFC,WAE303120,NULL,"ENDMILL 12, NHÔM, 3 ME","2019-03-13 16:17:09","2019-03-16 15:56:32",1
368,WAE303160,MFC,WAE303160,NULL,"ENDMILL 16, NHÔM, 3 ME","2019-03-13 16:17:09","2019-03-16 15:56:32",1
369,18014,MFC,18014,NULL,"TAP M1.6 NHÔM, XOẮN","2019-03-13 16:17:09","2019-03-16 15:56:32",1
370,18021,MFC,18021,NULL,"TAP M2X0.4 NHÔM, XOẮN","2019-03-13 16:17:09","2019-03-16 15:56:32",1
371,18034,MFC,18034,NULL,"TAP M2.6 NHÔM, XOẮN ","2019-03-13 16:17:09","2019-03-16 15:56:32",1
372,11544,MFC,11544,NULL,"TAP M3X0.5 NHÔM, XOẮN ","2019-03-13 16:17:09","2019-03-16 15:56:32",1
373,18048,MFC,18048,NULL,"TAP M3.5X0.6 NHÔM, XOẮN ","2019-03-13 16:17:09","2019-03-16 15:56:32",1
