ToolsMachineTrayID,MachineCode,ToolCode,TrayIndex,Quantity,CreatedDate,UpdatedDate,IsActive
1515240,VM-3,16ERM2.50-ISO-IC908,TRAY_01,0,NULL,"2019-05-24 10:38:51",1
1515312,VM-3,LDS030,TRAY_01,4,NULL,"2019-06-15 15:17:12",1
1515294,VM-3,EZBR040035ST-015F-PR1225,TRAY_02,0,NULL,"2019-05-24 10:39:06",1
1515313,VM-3,LDS040,TRAY_02,2,NULL,"2019-06-14 10:03:53",1
1515289,VM-3,TPGH110304LPR1425,TRAY_03,0,NULL,"2019-04-17 23:00:24",1
1515301,VM-3,"TPGH110304L - PR1425",TRAY_03,0,NULL,"2019-05-24 10:39:23",1
1515323,VM-3,LDS060,TRAY_03,1,NULL,"2019-06-10 20:17:48",1
1515292,VM-3,VNGA160404S02025-PT600M,TRAY_04,0,NULL,"2019-05-24 10:39:40",1
1515305,VM-3,APMT1135PDER-H2,TRAY_04,3,NULL,"2019-05-25 09:39:11",1
1515293,VM-3,VNMG160402PP-PV720,TRAY_05,0,NULL,"2019-05-24 10:39:56",1
1515306,VM-3,BLMP0603R-ML-TT9080,TRAY_05,9,NULL,"2019-06-18 18:48:41",1
1515287,VM-3,BLMP0603R-ML-TT9080,TRAY_06,10,NULL,"2019-06-18 17:41:51",1
1515291,VM-3,TCEX100304E-AROM4025,TRAY_07,4,NULL,"2019-06-12 18:49:59",1
1515290,VM-3,APMT1135PDER-H2,TRAY_08,1,NULL,"2019-04-12 14:34:34",1
1515299,VM-3,BLMP0603R-ML-TT9080,TRAY_09,0,NULL,"2019-04-25 22:26:07",1
1515302,VM-3,TCMT090204HQ-PV720,TRAY_09,0,NULL,"2019-05-24 10:40:11",1
1515288,VM-3,JDMT070208R-JP4020,TRAY_09,10,NULL,"2019-06-13 11:32:00",1
1515300,VM-3,JDMT070208R-JP4020,TRAY_10,11,NULL,"2019-06-18 17:39:55",1
1515241,VM-3,16ERM1.50-ISO-IC908,TRAY_11,0,NULL,"2019-05-24 10:40:28",1
1515322,VM-3,JDMT09T320ZDSR-JM-VP15TF,TRAY_11,8,NULL,"2019-05-30 09:58:07",1
1515242,VM-3,16ER150ISO-TF-PR1115,TRAY_12,0,NULL,"2019-05-24 10:40:47",1
1515314,VM-3,1015-2.0,TRAY_12,5,NULL,"2019-05-27 08:42:27",1
1515243,VM-3,16ERM2.0-ISO-IC908,TRAY_13,0,NULL,"2019-05-24 10:41:01",1
1515315,VM-3,1015-2.5,TRAY_13,4,NULL,"2019-06-17 15:01:43",1
1515244,VM-3,16ERM1.0-ISO-IC908,TRAY_14,0,NULL,"2019-05-24 10:41:12",1
1515316,VM-3,1015-3.0,TRAY_14,3,NULL,"2019-06-17 14:24:55",1
1515245,VM-3,VNMG160404HQ-CA515,TRAY_15,0,NULL,"2019-05-24 10:41:29",1
1515320,VM-3,1015-4.0,TRAY_15,3,NULL,"2019-06-17 14:46:33",1
1515246,VM-3,DNMG150404MS-PR1310,TRAY_16,0,NULL,"2019-05-24 10:41:45",1
1515324,VM-3,1015-5.0,TRAY_16,5,NULL,"2019-06-18 17:40:11",1
1515247,VM-3,16ER0.80-ISO-IC908,TRAY_17,0,NULL,"2019-05-24 10:42:05",1
1515321,VM-3,1015-6.0,TRAY_17,4,NULL,"2019-06-14 09:50:25",1
1515248,VM-3,WNMG080408PG-PR1535,TRAY_18,0,NULL,"2019-05-24 10:42:22",1
1515325,VM-3,1017-2.0,TRAY_18,3,NULL,"2019-06-18 08:16:07",1
1515295,VM-3,16ERM3.00-ISO-IC908,TRAY_19,0,NULL,"2019-05-24 10:42:34",1
1515317,VM-3,1017-2.5,TRAY_19,5,NULL,"2019-05-27 08:43:17",1
1515296,VM-3,16ERM1.25-ISO-908,TRAY_20,0,NULL,"2019-05-24 10:42:46",1
1515326,VM-3,1017-3.0,TRAY_20,4,NULL,"2019-06-06 11:43:30",1
1515249,VM-3,ZE704080,TRAY_21,0,NULL,"2019-06-12 08:05:07",1
1515250,VM-3,GDM2020N-020PH-PR1535,TRAY_22,0,NULL,"2019-05-24 10:43:01",1
1515318,VM-3,1017-5.0,TRAY_22,5,NULL,"2019-05-27 08:43:38",1
1515251,VM-3,DCGT11T302MFP-GQ,TRAY_23,0,NULL,"2019-05-24 10:43:15",1
1515319,VM-3,1017-6.0,TRAY_23,5,NULL,"2019-05-27 08:43:51",1
1515252,VM-3,TCMT090202HQ-PV7025,TRAY_24,0,NULL,"2019-05-24 10:43:28",1
1515327,VM-3,1017-4.0,TRAY_24,3,NULL,"2019-06-05 08:53:40",1
1515286,VM-3,11IRA55IC908,TRAY_25,0,NULL,"2019-05-24 10:43:41",1
1515328,VM-3,ZSPM4060-10,TRAY_25,3,NULL,"2019-06-12 14:55:13",1
1515297,VM-3,TKF12L100-S-PR1425,TRAY_26,0,NULL,"2019-05-24 10:43:55",1
1515307,VM-3,ZSPM4030-05,TRAY_26,4,NULL,"2019-05-25 09:40:06",1
1515253,VM-3,CPMH090308-PR1425,TRAY_27,0,NULL,"2019-05-24 10:44:11",1
1515308,VM-3,ZSPM4040-05,TRAY_27,4,NULL,"2019-05-25 09:40:34",1
1515254,VM-3,GDM3020N-030PH-PR1535,TRAY_28,0,NULL,"2019-05-24 10:44:24",1
1515309,VM-3,ZSPM4060-05,TRAY_28,5,NULL,"2019-06-18 17:40:26",1
1515255,VM-3,16ERM1.75-ISO-IC908,TRAY_29,0,NULL,"2019-05-24 10:44:36",1
1515310,VM-3,ZSPM4080-10,TRAY_29,5,NULL,"2019-05-25 09:41:19",1
1515298,VM-3,TNGG16040L-C-TN620,TRAY_30,0,NULL,"2019-05-24 10:44:50",1
1515311,VM-3,WAE303060,TRAY_30,4,NULL,"2019-05-28 08:25:50",1
1515257,VM-3,ZE704120,TRAY_31,3,NULL,"2019-06-08 09:33:50",1
1515258,VM-3,ZE704100,TRAY_32,2,NULL,"2019-05-27 18:52:15",1
1515259,VM-3,ZE704060,TRAY_33,3,NULL,"2019-06-03 10:37:25",1
1515285,VM-3,ZE704030,TRAY_34,5,NULL,"2019-03-15 02:53:12",1
1515260,VM-3,ZE704025,TRAY_35,5,NULL,"2019-04-14 00:22:17",1
1515261,VM-3,ZE704040,TRAY_36,1,NULL,"2019-06-03 10:39:47",1
1515256,VM-3,ZE704020,TRAY_37,1,NULL,"2019-06-03 10:38:48",1
1515262,VM-3,ZE704010,TRAY_38,5,NULL,"2019-03-14 01:21:06",1
1515263,VM-3,ZE704015,TRAY_39,3,NULL,"2019-05-13 18:40:37",1
1515264,VM-3,WAE303160,TRAY_40,1,NULL,"2019-05-28 08:24:56",1
1515265,VM-3,TX304025,TRAY_41,5,NULL,"2019-06-14 15:10:30",1
1515266,VM-3,WAE303040,TRAY_42,2,NULL,"2019-05-23 20:06:21",1
1515267,VM-3,WAE303080,TRAY_43,0,NULL,"2019-06-18 17:48:10",1
1515268,VM-3,WAE303025,TRAY_44,3,NULL,"2019-05-13 20:54:05",1
1515269,VM-3,WAE303030,TRAY_45,4,NULL,"2019-06-18 17:49:00",1
1515304,VM-3,WNMG080404PG-PV720,TRAY_46,0,NULL,"2019-05-24 10:45:07",1
1515270,VM-3,WAE303020,TRAY_46,4,NULL,"2019-05-27 08:34:37",1
1515271,VM-3,WAE303010,TRAY_47,5,NULL,"2019-05-24 08:14:28",1
1515272,VM-3,WAE303015,TRAY_48,4,NULL,"2019-05-16 08:04:03",1
1515273,VM-3,WAE303100,TRAY_49,4,NULL,"2019-06-14 09:57:29",1
1515274,VM-3,WAE303120,TRAY_50,3,NULL,"2019-05-12 16:36:47",1
1515275,VM-3,TX304010,TRAY_51,4,NULL,"2019-06-12 14:25:38",1
1515276,VM-3,TX304015,TRAY_52,3,NULL,"2019-06-18 09:58:57",1
1515277,VM-3,TX304020,TRAY_53,5,NULL,"2019-06-18 17:40:44",1
1515278,VM-3,TX304030,TRAY_54,1,NULL,"2019-06-18 15:42:09",1
1515279,VM-3,TX304040,TRAY_55,2,NULL,"2019-06-05 08:33:58",1
1515303,VM-3,WNMG080408WP-CA025P,TRAY_56,0,NULL,"2019-05-24 10:45:19",1
1515280,VM-3,TX304060,TRAY_56,1,NULL,"2019-06-17 13:56:42",1
1515281,VM-3,TX304080,TRAY_57,1,NULL,"2019-06-17 13:55:09",1
1515282,VM-3,TX304100,TRAY_58,4,NULL,"2019-06-18 17:41:03",1
1515283,VM-3,TX304120,TRAY_59,3,NULL,"2019-06-18 10:41:01",1
1515284,VM-3,TX304160,TRAY_60,1,NULL,"2019-06-14 14:27:10",1
