WorkingTransactionID,TransactionDate,MachineCode,CompanyCode,AssessorID,WOCode,OPCode,ToolCode,TrayIndex,Quantity,UpdatedDate,TransactionStatus,RespondMessage,TransactionType
8134866,"2019-06-18 18:48:53",VM-3,MFC,151110001,28IF035857,1,BLMP0603R-ML-TT9080,TRAY_05,1,"2019-06-18 18:49:04",ProductOK,NULL,GetTools
8134865,"2019-06-18 18:48:29",VM-3,MFC,151110001,28IF035857,1,BLMP0603R-ML-TT9080,TRAY_05,1,"2019-06-18 18:48:41",ProductOK,NULL,GetTools
8134240,"2019-06-18 17:48:48",VM-3,MFC,161225002,350IF180101,1,WAE303030,TRAY_45,1,"2019-06-18 17:49:00",ProductOK,NULL,GetTools
8134239,"2019-06-18 17:48:32",VM-3,MFC,161225002,350IF180101,1,WAE303030,TRAY_45,0,"2019-06-18 17:48:44",ProductFail,NULL,GetTools
8134238,"2019-06-18 17:47:59",VM-3,MFC,161225002,350IF180101,1,WAE303080,TRAY_43,1,"2019-06-18 17:48:10",ProductOK,NULL,GetTools
8134237,"2019-06-18 17:47:42",VM-3,MFC,161225002,350IF180101,1,WAE303080,TRAY_43,0,"2019-06-18 17:47:54",ProductFail,NULL,GetTools
8134028,"2019-06-18 17:41:50",VM-3,MFC,MFCSUBACC,,,BLMP0603R-ML-TT9080,TRAY_06,10,"2019-06-18 17:41:50",Complete,NULL,PutIns
8134027,"2019-06-18 17:41:26",VM-3,MFC,MFCSUBACC,,,BLMP0603R-ML-TT9080,TRAY_05,10,"2019-06-18 17:41:26",Complete,NULL,PutIns
8134026,"2019-06-18 17:41:02",VM-3,MFC,MFCSUBACC,,,TX304100,TRAY_58,4,"2019-06-18 17:41:02",Complete,NULL,PutIns
8134025,"2019-06-18 17:40:43",VM-3,MFC,MFCSUBACC,,,TX304020,TRAY_53,5,"2019-06-18 17:40:43",Complete,NULL,PutIns
8134024,"2019-06-18 17:40:25",VM-3,MFC,MFCSUBACC,,,ZSPM4060-05,TRAY_28,5,"2019-06-18 17:40:25",Complete,NULL,PutIns
8134023,"2019-06-18 17:40:10",VM-3,MFC,MFCSUBACC,,,1015-5.0,TRAY_16,5,"2019-06-18 17:40:10",Complete,NULL,PutIns
8134022,"2019-06-18 17:39:54",VM-3,MFC,MFCSUBACC,,,JDMT070208R-JP4020,TRAY_10,11,"2019-06-18 17:39:54",Complete,NULL,PutIns
