SyncHistoryID,SyncDate,Statistic,Status,SynType
1,"2018-08-11 13:02:36","first sync record",SUCCESS,HostToLocal
2,"2018-08-11 13:02:36","first sync record",SUCCESS,LocalToHost
3,"2018-08-11 13:07:55","run store sync changed data from host to local: ========Start=======
,
insertCompany: 1,
updateCompany: 0,
insertAssessor: 3,
updateAssessor: 0,
insertMachine: 1,
updateMachine: 0,
insertCompanyMachine: 2,
updateCompanyMachine: 0,
insertRoleAssessor: 3,
updateRoleAssessor: 0,
insertRole: 0,
updateRole: 0,
insertTools: 6,
updateTools: 0",SUCCESS,FromHost
4,"2018-08-11 13:07:56","run store sync changed data from host to local: insertMasterLog: 0,
updateMasterLog: 4,
insertToolsMachineTray: 0,
updateToolsMachineTray: 0,
insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,FromLocal
5,"2018-08-11 13:11:56","run store sync changed data from host to local: ========Start=======
,
insertCompany: 0,
updateCompany: 0,
insertAssessor: 0,
updateAssessor: 0,
insertMachine: 0,
updateMachine: 0,
insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertRoleAssessor: 0,
updateRoleAssessor: 0,
insertRole: 0,
updateRole: 0,
insertTools: 0,
updateTools: 0",SUCCESS,FromHost
6,"2018-08-11 13:11:59","run store sync changed data from host to local: insertMasterLog: 0,
updateMasterLog: 45,
insertToolsMachineTray: 0,
updateToolsMachineTray: 2,
insertWorkingTransaction: 0,
updateWorkingTransaction: 2",SUCCESS,FromLocal
7,"2018-08-17 22:06:33","run store sync changed data from host to local: ========Start=======
,
insertCompany: 0,
updateCompany: 0,
insertAssessor: 1,
updateAssessor: 1,
insertMachine: 0,
updateMachine: 0,
insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertRoleAssessor: 0,
updateRoleAssessor: 0,
insertRole: 0,
updateRole: 0,
insertTools: 0,
updateTools: 0",SUCCESS,FromHost
8,"2018-08-17 22:06:38","run store sync changed data from host to local: insertMasterLog: 0,
updateMasterLog: 75,
insertToolsMachineTray: 0,
updateToolsMachineTray: 0,
insertWorkingTransaction: 0,
updateWorkingTransaction: 1",SUCCESS,FromLocal
9,"2018-08-22 22:57:54","run store sync changed data from host to local: ========Start=======
,
insertCompany: 0,
updateCompany: 0,
insertAssessor: 0,
updateAssessor: 0,
insertMachine: 0,
updateMachine: 0,
insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertRoleAssessor: 0,
updateRoleAssessor: 0,
insertRole: 0,
updateRole: 0,
insertTools: 0,
updateTools: 0",SUCCESS,FromHost
10,"2018-08-22 22:58:12","run store sync changed data from host to local: insertMasterLog: 0,
updateMasterLog: 87,
insertToolsMachineTray: 20,
updateToolsMachineTray: 2,
insertWorkingTransaction: 95,
updateWorkingTransaction: 10",SUCCESS,FromLocal
11,"2018-08-22 23:03:16","run store sync changed data from host to local: ========Start=======
,
insertCompany: 0,
updateCompany: 0,
insertAssessor: 0,
updateAssessor: 0,
insertMachine: 0,
updateMachine: 0,
insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertRoleAssessor: 0,
updateRoleAssessor: 0,
insertRole: 0,
updateRole: 0,
insertTools: 0,
updateTools: 0",SUCCESS,FromHost
12,"2018-08-22 23:03:41","run store sync changed data from host to local: insertMasterLog: 0,
updateMasterLog: 68,
insertToolsMachineTray: 0,
updateToolsMachineTray: 0,
insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,FromLocal
13,"2018-08-22 23:09:29","run store sync changed data from host to local: ========Start=======
,
insertCompany: 0,
updateCompany: 0,
insertAssessor: 0,
updateAssessor: 3,
insertMachine: 0,
updateMachine: 0,
insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertRoleAssessor: 0,
updateRoleAssessor: 0,
insertRole: 0,
updateRole: 0,
insertTools: 0,
updateTools: 0",SUCCESS,FromHost
14,"2018-08-22 23:10:01","run store sync changed data from host to local: insertMasterLog: 0,
updateMasterLog: 117,
insertToolsMachineTray: 0,
updateToolsMachineTray: 0,
insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,FromLocal
15,"2018-08-22 23:15:03","run store sync changed data from host to local: ========Start=======
,
insertCompany: 0,
updateCompany: 0,
insertAssessor: 0,
updateAssessor: 0,
insertMachine: 0,
updateMachine: 0,
insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertRoleAssessor: 0,
updateRoleAssessor: 0,
insertRole: 0,
updateRole: 0,
insertTools: 0,
updateTools: 0",SUCCESS,FromHost
16,"2018-08-22 23:15:20","run store sync changed data from host to local: insertMasterLog: 0,
updateMasterLog: 88,
insertToolsMachineTray: 0,
updateToolsMachineTray: 0,
insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,FromLocal
17,"2018-08-22 23:20:23","run store sync changed data from host to local: ========Start=======
,
insertCompany: 0,
updateCompany: 0,
insertAssessor: 0,
updateAssessor: 1,
insertMachine: 0,
updateMachine: 0,
insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertRoleAssessor: 0,
updateRoleAssessor: 0,
insertRole: 0,
updateRole: 0,
insertTools: 0,
updateTools: 0",SUCCESS,FromHost
18,"2018-08-22 23:20:58","run store sync changed data from host to local: insertMasterLog: 0,
updateMasterLog: 96,
insertToolsMachineTray: 0,
updateToolsMachineTray: 0,
insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,FromLocal
19,"2018-08-22 23:26:00","run store sync changed data from host to local: ========Start=======
,
insertCompany: 0,
updateCompany: 0,
insertAssessor: 0,
updateAssessor: 0,
insertMachine: 0,
updateMachine: 0,
insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertRoleAssessor: 0,
updateRoleAssessor: 0,
insertRole: 0,
updateRole: 0,
insertTools: 0,
updateTools: 0",SUCCESS,FromHost
20,"2018-08-22 23:26:54","run store sync changed data from host to local: insertMasterLog: 0,
updateMasterLog: 104,
insertToolsMachineTray: 0,
updateToolsMachineTray: 0,
insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,FromLocal
21,"2018-08-22 23:32:01","run store sync changed data from host to local: ========Start=======
,
insertCompany: 0,
updateCompany: 0,
insertAssessor: 1,
updateAssessor: 0,
insertMachine: 0,
updateMachine: 0,
insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertRoleAssessor: 0,
updateRoleAssessor: 0,
insertRole: 0,
updateRole: 0,
insertTools: 0,
updateTools: 0",SUCCESS,FromHost
22,"2018-08-22 23:33:33","run store sync changed data from host to local: insertMasterLog: 0,
updateMasterLog: 112,
insertToolsMachineTray: 0,
updateToolsMachineTray: 0,
insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,FromLocal
23,"2018-08-22 23:38:36","run store sync changed data from host to local: ========Start=======
,
insertCompany: 0,
updateCompany: 0,
insertAssessor: 0,
updateAssessor: 1,
insertMachine: 0,
updateMachine: 0,
insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertRoleAssessor: 0,
updateRoleAssessor: 0,
insertRole: 0,
updateRole: 0,
insertTools: 0,
updateTools: 0",SUCCESS,FromHost
